Logit_True,Logit_Max_Incorrect,Gap
0.8161984,0.8124887,0.0037097335
0.98780644,0.97704774,0.010758698
0.98708004,0.90585804,0.081222
0.36639762,0.570669,-0.20427138
0.8705585,0.78764784,0.08291066
0.8310034,0.8214898,0.009513617
0.7602046,0.6855505,0.0746541
0.61146116,0.9403994,-0.32893825
0.8771199,0.97162616,-0.094506264
0.66805166,0.76332605,-0.09527439
0.8333439,0.88974315,-0.056399226
0.8926524,0.87033916,0.022313237
0.77430767,0.7324251,0.041882575
0.9932604,0.96566355,0.027596831
0.8867995,0.89506567,-0.008266151
0.9844496,0.97549844,0.008951187
0.88494074,0.9029948,-0.018054068
0.9747355,0.982805,-0.008069515
0.83617973,0.9404239,-0.10424417
0.30549413,0.8532636,-0.5477695
0.7864564,0.98910236,-0.20264596
0.92091256,0.9067026,0.014209986
0.8758105,0.79457355,0.08123696
0.96820813,0.675148,0.29306012
0.979747,0.94467515,0.03507185
0.9771149,0.98598623,-0.008871317
0.7649476,0.94667983,-0.18173224
0.7712735,0.9420619,-0.1707884
0.9013975,0.9306857,-0.029288173
0.98492426,0.97835505,0.0065692067
0.975965,0.878126,0.097839
0.9516012,0.97130305,-0.019701838
0.96351075,0.9005991,0.06291163
0.96022946,0.5910753,0.36915416
0.88033503,0.88033503,0.0
0.7517456,0.71022743,0.04151815
0.96391463,0.9542016,0.009713054
0.9592791,0.68497556,0.27430356
0.96186054,0.68282205,0.2790385
0.98767745,0.977967,0.009710431
0.87878007,0.96944493,-0.09066486
0.94743955,0.91823614,0.029203415
0.9767989,0.9649154,0.011883497
0.18998499,0.9593071,-0.7693221
0.82644224,0.7268932,0.099549055
0.9508858,0.97710985,-0.026224077
0.81712866,0.9435113,-0.12638265
0.91923046,0.9424758,-0.023245335
0.3014133,0.86154705,-0.56013376
0.3006083,0.8611939,-0.5605856
0.58675516,0.5836537,0.003101468
0.8908392,0.8511624,0.039676845
0.7007005,0.900752,-0.20005149
0.43115854,0.8776498,-0.44649124
0.8289903,0.94372535,-0.11473507
0.74138033,0.9054652,-0.16408485
0.98056436,0.7486827,0.23188168
0.97252625,0.766013,0.20651323
0.9306471,0.94649756,-0.015850484
0.9890268,0.8014182,0.1876086
0.88955456,0.79912513,0.090429425
0.8702438,0.78840387,0.08183992
0.83054674,0.94356567,-0.11301893
0.8313373,0.8102312,0.021106064
0.9819379,0.76099664,0.22094125
0.96653706,0.771998,0.19453907
0.9818381,0.7757484,0.20608974
0.7459376,0.91641337,-0.17047578
0.72779274,0.82134986,-0.09355712
0.87380075,0.7984319,0.07536888
0.9710504,0.89722985,0.07382053
0.8123079,0.8662902,-0.053982317
0.9780969,0.65768135,0.32041556
0.813017,0.9169611,-0.10394406
0.875197,0.79814816,0.07704884
0.87611413,0.755867,0.120247126
0.8871348,0.79622865,0.09090614
0.9981158,0.99627256,0.001843214
0.8781868,0.8981688,-0.01998198
0.6653497,0.7700304,-0.10468066
0.8746983,0.8179489,0.056749403
0.97262776,0.9010608,0.07156694
0.89610076,0.8088067,0.08729404
0.69453853,0.9151046,-0.2205661
0.95771235,0.9702834,-0.012571037
0.96458155,0.979349,-0.014767468
0.9478892,0.9588753,-0.01098609
0.65710276,0.8093691,-0.15226632
0.45016026,0.7154061,-0.26524585
0.89502513,0.87808716,0.016937971
0.98590845,0.94719785,0.038710594
0.98607713,0.93504953,0.051027596
0.98079884,0.9267143,0.05408454
0.9788756,0.9196031,0.059272468
0.9733461,0.9088894,0.0644567
0.99111485,0.95680547,0.034309387
0.9193133,0.8033173,0.115996
0.95688945,0.9734329,-0.016543448
0.9776814,0.9698553,0.00782609
0.76197666,0.96723926,-0.2052626
0.65032905,0.73660576,-0.08627671
0.65006506,0.7426922,-0.09262711
0.6819472,0.81404966,-0.13210249
0.6662826,0.7996019,-0.13331932
0.65461457,0.820529,-0.16591442
0.8065141,0.63836014,0.16815394
0.8390646,0.6812348,0.15782982
0.96571296,0.963977,0.0017359853
0.6452435,0.79726523,-0.1520217
0.9466973,0.9230372,0.023660123
0.9378088,0.9044248,0.033384025
0.90595585,0.88945675,0.016499102
0.8810154,0.9360796,-0.0550642
0.94020665,0.9538499,-0.013643265
0.9384971,0.87685513,0.06164199
0.83102596,0.87891036,-0.047884405
0.99174064,0.9664926,0.02524805
0.954984,0.9031676,0.051816404
0.86354494,0.7794753,0.08406967
0.54229766,0.88203144,-0.33973378
0.6471167,0.7629444,-0.11582768
0.98814875,0.9667698,0.021378934
0.9434796,0.8746881,0.06879151
0.9788495,0.9770293,0.001820147
0.94665223,0.9602678,-0.013615549
0.5776739,0.8062699,-0.22859597
0.05151418,0.66352713,-0.612013
0.8251399,0.7494624,0.075677454
0.9426336,0.8361617,0.106471956
0.8192325,0.87329775,-0.054065228
0.82939494,0.88094306,-0.051548123
0.82286805,0.8755417,-0.052673638
0.82820857,0.8772299,-0.049021363
0.98542374,0.9309377,0.054486036
0.97936183,0.9192277,0.060134113
0.9843754,0.9277011,0.0566743
0.9702635,0.8578209,0.11244255
0.7635415,0.7815891,-0.018047571
0.96100634,0.9906447,-0.02963835
0.9693853,0.9649099,0.0044754148
0.9512687,0.96457434,-0.013305664
0.96881634,0.9827626,-0.013946235
0.96659833,0.98094034,-0.01434201
0.9975501,0.97057015,0.026979923
0.67681026,0.75334656,-0.0765363
0.9037883,0.97486055,-0.07107222
0.9241253,0.98127997,-0.057154655
0.9259722,0.98196507,-0.05599284
0.92434585,0.9804297,-0.056083858
0.9554789,0.96955806,-0.014079154
0.9593247,0.9658036,-0.0064789057
0.85407966,0.9341344,-0.08005476
0.9579371,0.90204036,0.05589676
0.6482744,0.8876009,-0.23932648
0.97690535,0.9170044,0.05990094
0.97958577,0.92328405,0.056301713
0.98475647,0.92798734,0.056769133
0.9827212,0.92469,0.0580312
0.98085576,0.9371178,0.043737948
0.98210627,0.9296968,0.05240947
0.9662043,0.8659199,0.1002844
0.6390183,0.77771616,-0.13869786
0.6450594,0.8157899,-0.17073047
0.8926819,0.993344,-0.10066211
0.9766507,0.9702053,0.006445408
0.9427835,0.91087687,0.031906605
0.9808672,0.98014605,0.0007211566
0.9537258,0.9662281,-0.012502313
0.957097,0.96922165,-0.012124658
0.8615496,0.8766195,-0.015069902
0.99315274,0.97317606,0.019976676
0.268369,0.84585625,-0.57748723
0.9714625,0.9488982,0.022564292
0.96499205,0.93744206,0.027549982
0.9979187,0.9699442,0.027974546
0.95958203,0.9911502,-0.03156817
0.6677766,0.74124503,-0.07346845
0.65120435,0.7880137,-0.13680935
0.6567508,0.8134059,-0.15665507
0.5776739,0.8062699,-0.22859597
0.9835468,0.93386906,0.04967773
0.9886311,0.9765049,0.012126207
0.98301566,0.96436995,0.018645704
0.9270745,0.8205544,0.10652012
0.93443817,0.8130492,0.12138897
0.91837513,0.8043998,0.113975346
0.96801186,0.98262,-0.014608145
0.65607363,0.7990943,-0.14302069
0.92064273,0.95667243,-0.036029696
0.97150064,0.7217132,0.24978745
0.9661732,0.94931126,0.016861916
0.97067004,0.6772222,0.29344785
